loan_id,no_of_dependents,education,self_employed,age,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,3,1,1,79,1471000,18700,13,652,81000,15200,47700,960700,0
2,3,1,0,24,933000,34880,16,806,41300,20500,23200,499500,1
3,5,1,1,41,800000,36290,17,524,47200,37100,32100,241600,1
4,1,0,1,28,1281000,6240,28,788,9100,21000,8700,449400,1
5,2,1,1,45,1171000,7870,13,355,74100,78400,13500,35100,0
6,3,0,1,65,1481000,11290,26,383,23800,62100,3400,268000,0
7,3,1,0,66,427000,29520,11,315,82000,13200,44400,177700,0
8,4,1,0,27,1182000,44280,7,776,63800,65300,49600,739400,1
9,0,1,1,62,1255000,24410,24,481,39700,61000,17500,337100,0
10,1,1,1,63,570000,37290,18,842,25400,9800,19500,125100,0
11,4,0,0,34,607000,39700,9,507,32600,73800,9900,713300,1
12,5,0,1,51,1447000,40720,11,845,37500,30000,9600,479100,1
13,5,0,0,61,309000,6430,8,489,77200,63800,43800,391500,0
14,1,1,0,47,931000,33670,21,504,95600,52200,41200,255400,1
15,2,1,1,65,1011000,45950,9,872,38900,97100,29500,661600,1
16,3,1,0,25,1394000,48820,7,355,100,17500,3500,515400,0
17,2,1,1,21,775000,19030,5,366,26500,28500,7300,330200,0
18,0,0,1,50,661000,30360,5,589,51100,36400,31200,472200,1
19,5,1,0,40,1479000,24410,18,438,68200,80800,28900,99200,0
20,0,1,0,29,449000,35010,23,448,62900,76100,30600,35100,0
21,4,1,0,75,1429000,48200,7,594,78200,88500,1100,827200,0
22,5,1,0,25,995000,46330,14,531,62100,53400,14900,913600,1
23,2,1,1,26,1216000,13540,11,774,66900,56100,14300,36200,0
24,1,1,1,77,1492000,17790,22,781,85300,26500,26000,300300,0
25,3,1,0,29,586000,21090,26,888,76100,59500,21000,510500,1
26,4,0,0,49,523000,27910,10,353,87200,87300,10600,884400,0
27,3,0,0,75,1434000,22260,13,776,1200,18200,43000,329700,0
28,1,1,1,38,1160000,36210,11,596,6700,33600,14900,833100,1
29,0,0,0,38,1078000,6190,24,438,40700,13200,24400,275100,0
30,2,0,0,42,1346000,11050,23,878,93400,62000,40200,414700,1
31,2,0,1,51,299000,19240,5,877,74300,2700,13800,274900,1
32,0,0,0,61,1233000,9850,13,385,29200,57700,27000,10200,0
33,4,0,1,24,1324000,42440,11,674,86900,62900,14600,231300,1
34,3,1,0,47,906000,39870,5,713,96300,97100,34300,853900,1
35,5,1,1,70,1322000,18420,25,388,88000,80300,25600,134100,0
36,1,0,1,26,420000,9480,7,826,91700,26700,49600,953700,1
37,5,0,1,75,556000,28290,11,402,91900,37100,1000,272700,0
38,0,1,1,30,359000,3180,24,816,38200,99800,8100,992500,1
39,0,1,0,39,445000,43060,5,422,46800,77100,43800,462800,0
40,3,1,0,77,750000,39480,13,502,16000,80800,4100,439000,0
41,3,0,0,22,943000,27340,10,786,92500,80100,18200,879100,1
42,1,0,0,41,1104000,23730,7,489,37600,72800,28000,986200,0
43,3,1,0,32,505000,44830,21,501,10200,100,23700,738600,1
44,0,0,1,69,394000,2220,12,897,77800,96300,42700,199400,1
45,1,0,1,36,904000,10200,11,762,62100,6100,1800,129600,0
46,1,1,1,76,872000,11900,17,778,62500,46200,31200,680800,0
47,0,0,0,73,433000,49320,5,890,32400,5900,46500,633300,0
48,4,0,0,52,895000,20590,17,439,45200,79000,42200,152000,0
49,0,0,0,45,1236000,36350,22,508,26800,52000,41800,867100,1
50,4,1,1,60,890000,40390,7,642,66300,33600,23700,931800,1
51,1,1,0,26,1454000,38720,21,538,45800,33800,14800,241600,1
52,3,1,1,45,350000,49690,8,617,37300,38900,26800,581600,1
53,4,0,1,40,1321000,43380,26,524,76600,53300,16400,452400,1
54,5,1,0,23,768000,11830,7,698,58700,29700,31800,266800,1
55,3,0,1,61,733000,34670,24,686,25100,84100,46700,422600,0
56,5,0,1,47,1262000,48420,28,480,54600,32200,4400,330300,0
57,3,1,1,40,1058000,24060,20,601,80100,48700,15600,839400,1
58,4,1,0,71,995000,31020,11,332,78200,22400,2700,893000,0
59,5,0,0,61,593000,25130,7,639,3400,51100,11900,407700,1
60,3,0,1,33,1231000,34310,11,849,57600,13400,22900,916700,1
61,5,0,0,38,1289000,1960,11,770,90900,63500,34300,334200,1
62,3,0,0,45,939000,37790,7,346,21300,11400,25400,347900,0
63,4,1,0,78,1360000,35850,10,666,93200,56900,24700,84500,0
64,0,1,1,24,1342000,4950,19,412,62600,97200,13000,908300,0
65,2,1,0,41,832000,24540,8,330,91800,33100,36300,87900,0
66,5,1,0,42,852000,38800,29,456,91400,60700,25300,194600,0
67,3,0,0,60,1194000,4780,28,507,95300,7300,4600,421300,0
68,2,0,0,68,1070000,28050,14,802,15300,22500,27700,848000,1
69,4,0,0,63,1311000,36660,11,369,89000,64400,22300,710000,0
70,2,0,1,49,874000,32790,9,631,8100,85600,36400,657600,1
71,2,0,1,64,1116000,14210,9,354,64600,9900,31600,442400,0
72,3,0,0,59,383000,42780,8,426,40800,11500,25100,615600,0
73,4,1,1,70,1281000,40250,26,664,15800,38000,13500,953700,0
74,3,1,0,41,1475000,40360,22,352,54200,49700,10800,718800,0
75,1,0,0,37,1490000,23450,13,797,68400,21900,34700,207300,1
76,4,0,0,74,1175000,29690,10,541,22200,20500,38600,795200,0
77,3,1,0,57,938000,26150,26,662,82200,36400,44100,77400,0
78,5,0,1,30,455000,31660,25,849,15600,24600,37500,632100,1
79,1,1,0,58,357000,14170,29,434,44500,23500,23700,996300,0
80,4,0,0,74,390000,37850,13,775,54000,74400,35300,999100,0
81,5,1,1,51,1339000,34510,21,535,59600,16400,30400,586500,0
82,1,1,0,28,1163000,38900,11,839,93400,32000,42000,39500,1
83,5,0,1,64,1067000,27860,7,885,7600,28800,24900,342300,1
84,3,1,0,38,414000,32350,29,450,83500,69200,10600,296500,0
85,5,0,1,23,949000,6330,19,476,68800,90000,29700,40900,0
86,3,1,1,78,779000,24800,9,674,41400,63400,48700,986400,0
87,0,1,0,38,383000,4890,23,817,76100,37800,11600,261300,1
88,3,1,0,31,1118000,41560,13,885,57900,72200,45600,455200,1
89,2,1,1,35,973000,6310,18,382,52500,93500,23900,370800,0
90,1,1,0,80,1482000,8900,12,628,5400,80400,5500,204300,0
91,5,0,1,71,913000,15160,24,655,21400,83400,1100,702600,0
92,4,1,1,72,1170000,28990,24,472,56100,22400,21800,509100,0
93,2,0,0,49,906000,13350,12,625,18300,69500,14100,916900,1
94,3,0,1,70,465000,18880,27,430,11500,52000,37300,16900,0
95,3,1,1,34,1418000,16060,23,303,92200,31500,35400,876400,0
96,2,0,0,53,559000,22220,27,848,64000,34600,28200,939300,0
97,4,0,0,75,1083000,40710,22,612,55300,53100,14800,122400,0
98,5,1,1,76,720000,40820,29,470,49300,75300,11600,70400,0
99,2,1,0,54,913000,21250,25,547,56300,64300,41000,748800,0
100,0,0,0,34,993000,28070,17,666,55800,66500,12200,566600,1
101,0,1,0,65,789000,28240,17,357,20200,10600,16000,650200,0
102,5,1,0,64,1377000,15560,29,303,52300,68500,32300,152900,0
103,4,0,0,30,1491000,8150,15,687,16400,9900,14400,525700,1
104,0,1,0,21,1351000,21140,22,740,69300,56700,5000,438700,1
105,3,1,0,62,1217000,15600,22,456,23900,67600,24300,900000,0
106,5,0,0,29,534000,20690,12,471,60700,19900,41600,499800,0
107,1,0,0,40,1028000,10010,27,882,95600,11500,41300,820800,1
108,0,0,1,64,842000,17030,6,758,86800,79900,30900,526200,1
109,1,1,0,62,351000,38110,8,486,69100,30400,40500,225000,0
110,4,0,1,22,1275000,24880,14,613,7600,76300,39300,489000,1
111,1,1,0,57,651000,21950,12,311,37500,17000,39300,552400,0
112,4,1,0,60,361000,11200,20,456,26600,95600,5300,441900,0
113,5,0,1,69,255000,40580,24,507,80900,1800,27600,698500,0
114,2,0,0,32,1065000,22440,6,537,64400,6000,39200,509800,1
115,1,0,1,55,395000,32440,26,301,89300,98600,27700,492600,0
116,3,1,0,37,1375000,13490,19,727,17700,26400,14500,195200,1
117,3,0,0,66,1480000,24150,10,699,1800,40100,26500,741300,1
118,4,0,1,80,615000,7460,26,693,13700,14400,9900,947100,0
119,2,1,1,56,713000,3860,13,506,62900,63900,47400,350400,1
120,4,1,1,74,1216000,44660,23,685,15800,17900,5900,157700,0
121,0,1,1,79,1102000,14540,15,595,900,50900,21600,242300,0
122,0,0,1,76,396000,2460,20,647,35200,89800,40100,212800,0
123,4,0,0,28,1064000,47190,28,464,58200,74800,36400,81500,0
124,4,0,1,26,697000,45400,9,583,47300,37800,30900,980200,1
125,4,0,1,48,1090000,37890,21,415,46100,20500,28900,885200,0
126,3,1,1,59,353000,28480,7,739,66400,90400,17600,168800,1
127,3,0,0,25,792000,20930,26,852,1200,47200,25500,916600,1
128,1,0,0,32,661000,13520,16,840,5900,69200,46800,553100,1
129,4,0,0,63,486000,44470,27,745,0,1100,16100,275400,0
130,2,0,0,30,1095000,24320,8,383,44300,61900,30600,775000,0
131,4,0,0,23,1161000,8450,28,363,41000,5800,7000,433700,0
132,3,0,1,71,696000,44840,22,606,64400,88900,43700,551600,0
133,0,0,1,37,1345000,4230,18,547,59300,85700,48300,36000,1
134,2,0,0,63,1385000,45960,27,508,22400,41000,14900,855300,0
135,0,0,0,33,856000,9690,9,659,61500,3500,28600,150300,1
136,1,0,0,69,1353000,15280,7,771,19400,70700,47400,204600,1
137,0,1,0,71,368000,3230,29,433,56400,99000,35400,168100,0
138,4,0,0,56,989000,33060,26,519,44400,8500,20600,932500,0
139,1,1,0,54,1053000,21270,8,551,98100,65800,11900,768300,1
140,4,0,0,44,968000,26550,29,335,9300,44900,8900,686400,0
141,1,1,1,56,253000,33330,13,519,23800,56100,48200,980100,1
142,4,1,1,34,1041000,8550,19,415,34200,90700,31100,512200,0
143,4,1,1,71,688000,9030,29,592,50300,73000,29000,667900,0
144,1,1,0,44,1306000,38440,27,412,9100,38700,21200,926200,0
145,2,0,0,69,506000,12180,25,430,36100,96600,16100,589700,0
146,3,0,1,78,443000,4180,9,533,64200,28100,26200,548700,0
147,4,0,1,64,1422000,8720,27,638,40200,32700,44000,24800,0
148,3,0,0,49,968000,46670,5,755,67800,68300,14000,351600,1
149,3,1,0,52,1228000,21270,27,559,30100,20000,11000,676000,0
150,2,0,0,24,763000,14420,5,504,9300,80300,3100,164300,1
